2012 05 25 03 37 31.07  0.03   33.571  0.12  133.584  0.11     8.5   0.4  0.9
2012 05 25 04 43 10.23  0.06   33.522  0.19  131.945  0.17    63.5   0.6  4.0
2012 05 25 08 52 09.33  0.07   33.488  0.17  132.040  0.17    56.9   0.6  0.7
2012 05 25 15 59 26.50  0.33   33.154  0.84  132.066  0.89    41.8   2.6  0.5
2012 05 25 18 37 58.27  0.04   32.964  0.11  132.612  0.16    28.7   0.4  0.7
2012 05 25 19 42 46.34  0.05   33.172  0.21  133.453  0.19    25.9   0.6  0.8
2012 05 25 20 10 48.70  0.04   33.473  0.10  132.698  0.13    38.1   0.4  0.8
2012 05 25 21 50 32.09  0.27   33.220  0.48  132.229  0.43    28.4   2.1  0.5
2012 05 25 21 57 55.89  0.05   33.354  0.17  132.305  0.17    40.1   0.5  0.9
2012 05 26 03 13 01.84  0.09   33.512  0.29  131.942  0.27    63.2   0.8  0.7
2012 05 26 04 24 54.29  0.43   33.098  0.45  132.215  0.37    34.9   3.3  0.5
2012 05 26 08 44 22.52  0.19   33.143  0.23  132.215  0.22    35.9   1.4  0.5
2012 05 26 08 47 09.67  0.08   33.471  0.21  134.505  0.32    31.9   0.9  1.7
2012 05 26 08 58 02.82  0.29   33.259  0.45  132.137  0.35    36.3   1.9  0.5
2012 05 26 09 25 20.89  0.08   33.486  0.33  132.288  0.31     6.5   1.1  0.6
2012 05 26 10 17 52.51  0.36   33.171  0.58  132.072  0.55    35.0   2.6  0.6
2012 05 26 10 23 19.36  0.33   33.495  0.39  132.679  0.42    34.9   1.9  0.5
2012 05 26 10 32 04.17  0.06   33.722  0.14  132.499  0.18    43.2   0.6  0.7
2012 05 26 13 53 35.98  0.14   33.028  0.64  132.143  0.56    42     0.0  0.5
2012 05 26 14 04 44.92  0.14   33.174  0.68  132.184  0.62    39     0.0  0.5
2012 05 26 18 14 46.85  0.02   34.328  0.05  132.108  0.07    12.3   0.3  0.6
2012 05 26 18 24 53.61  0.04   33.537  0.10  134.092  0.12    29.6   0.4  0.6
2012 05 26 18 43 27.40  0.04   33.036  0.24  132.271  0.08     5.8   2.0  0.8
2012 05 26 22 31 19.00  0.40   33.291  0.35  132.383  0.95    31.3   2.0  0.5
2012 05 26 22 46 40.44  0.39   33.265  0.82  132.281  0.63    36.0   2.4  0.5
2012 05 26 22 56 25.31  0.70   33.224  0.84  132.169  0.77    40.9   4.5  0.0
2012 05 27 01 06 20.52  0.04   33.322  0.11  131.478  0.21     9.2   0.5  0.5
2012 05 27 01 06 24.17  0.06   33.320  0.17  131.473  0.30    11.1   0.6  0.7
2012 05 27 01 09 19.96  0.04   33.322  0.12  131.484  0.17     9.7   0.5  1.7
2012 05 27 01 09 58.54  0.05   33.319  0.13  131.474  0.27     9.7   0.6  0.5
2012 05 27 01 45 38.97  0.04   33.321  0.13  131.482  0.19     9.8   0.6  2.8
2012 05 27 01 47 02.03  0.04   33.322  0.12  131.476  0.19     8.8   0.5  0.7
2012 05 27 01 48 20.06  0.04   33.324  0.12  131.479  0.19     8.7   0.5  0.6
2012 05 27 01 56 30.60  0.04   33.325  0.13  131.474  0.22     9.5   0.6  0.7
2012 05 27 01 59 50.11  0.04   33.320  0.12  131.474  0.17     9.9   0.5  1.2
2012 05 27 02 45 24.35  0.04   33.321  0.13  131.486  0.20     8.1   0.6  0.8
2012 05 27 02 45 41.14  0.05   33.320  0.12  131.480  0.23     9.4   0.6  0.5
2012 05 27 02 46 42.62  0.03   33.322  0.11  131.479  0.16     9.7   0.5  2.0
2012 05 27 02 47 19.10  0.07   33.319  0.13  131.477  0.33     8.5   0.7  0.5
2012 05 27 03 19 31.24  0.03   33.324  0.11  131.477  0.18     8.9   0.5  0.5
2012 05 27 03 58 38.10  0.26   33.044  0.45  132.077  0.65    33.2   1.6  0.5
2012 05 27 04 04 54.02  1.67   33.064  1.28  132.220  5.63    35     0.0  0.8
2012 05 27 04 19 26.30  0.53   33.054  0.79  131.933  1.00    38.0   3.1  0.6
2012 05 27 04 22 12.39  0.28   33.042  0.35  132.131  0.32    30.2   2.2  0.5
2012 05 27 04 27 57.66  0.38   33.025  0.56  132.154  0.40    34.1   3.0  0.7
2012 05 27 04 42 38.79  0.36   33.158  0.57  132.118  0.52    33.7   2.9  0.6
2012 05 27 11 23 00.56  0.25   33.295  0.41  132.369  0.40    34.0   1.7  0.6
2012 05 27 11 27 01.19  0.30   33.308  0.67  132.312  0.42    33.5   2.1  0.5
2012 05 27 11 36 36.92  0.21   33.112  0.26  132.250  0.22    35.5   1.6  0.5
2012 05 27 12 52 39.36  0.05   34.008  0.16  134.453  0.26     6.2   1.1  0.6
2012 05 27 14 26 02.69  0.27   33.353  0.31  132.463  0.39    38.3   1.4  0.5
2012 05 27 15 32 10.62  0.03   33.534  0.09  132.365  0.11    43.5   0.3  0.7
2012 05 27 16 02 56.30  0.17   33.361  0.19  132.555  0.24    34.3   0.9  0.6
2012 05 27 16 16 32.08  0.09   32.875  0.27  131.920  0.38    49.1   0.9  1.0
2012 05 27 16 18 27.90  0.05   33.251  0.16  133.236  0.16    22.4   0.5  1.6
2012 05 27 16 19 50.66  0.28   33.104  0.42  132.213  0.62    35.9   1.8  0.5
2012 05 27 17 31 03.21  0.15   33.518  0.46  131.552  0.50   117.5   1.2  1.2
2012 05 27 20 12 44.31  0.31   33.142  0.46  132.268  0.48    36.2   2.6  0.5
2012 05 27 21 07 23.02  0.10   33.080  0.31  132.054  0.27    45.4   1.1  0.5
2012 05 27 23 47 35.25  0.27   33.370  0.27  132.548  0.32    34.0   1.4  0.6
2012 05 27 23 51 42.47  0.92   33.378  0.80  132.523  1.95    38.8   4.2  0.6
2012 05 28 00 18 29.13  0.40   33.256  0.58  132.435  0.70    31.9   2.7  0.5
2012 05 28 00 23 07.43  0.27   33.241  0.38  132.341  0.34    36.1   1.8  0.6
2012 05 28 02 20 13.89  0.18   33.520  0.22  132.686  0.27    28.8   1.2  0.5
2012 05 28 02 36 04.94  0.24   33.139  0.28  132.235  0.24    36.3   1.7  0.7
2012 05 28 05 15 10.83  0.03   34.082  0.09  131.917  0.08    17.0   0.3  2.0
2012 05 28 11 47 46.18  0.06   32.969  0.19  132.143  0.15    36.2   0.8  1.2
2012 05 28 13 22 16.36  0.06   33.705  0.14  134.228  0.14    20.4   0.6  0.6
2012 05 28 15 21 04.72  0.04   33.795  0.17  133.539  0.15     3.9   1.0  0.7
2012 05 28 17 25 21.11  0.03   34.273  0.07  131.998  0.10    14.6   0.4  0.8
2012 05 28 17 47 56.87  0.04   33.767  0.11  131.479  0.14    17.0   0.8  0.7
2012 05 28 19 44 49.80  0.04   34.030  0.13  132.590  0.13    16.9   0.6  0.6
2012 05 28 23 01 21.31  0.05   33.838  0.10  132.645  0.14    43.2   0.4  0.6
2012 05 29 00 12 13.23  0.31   33.312  0.21  132.514  0.60    33.9   1.5  0.6
2012 05 29 00 36 18.41  0.11   33.002  0.27  132.299  0.23    33.6   1.4  0.7
2012 05 29 02 48 04.35  0.60   33.645  0.62  132.456  0.93    37.6   3.4  0.6
2012 05 29 02 48 36.54  0.30   33.652  0.31  132.470  0.39    34.7   1.9  0.5
2012 05 29 03 40 54.98  0.03   33.835  0.10  134.351  0.10    10.3   0.5  0.7
2012 05 29 04 12 23.89  0.34   33.367  0.41  132.586  0.55    26.0   1.9  0.7
2012 05 29 04 20 53.48  0.15   33.369  0.17  132.522  0.26    35.9   0.8  0.5
2012 05 29 04 51 21.01  0.64   33.483  1.04  132.567  1.03    26.9   3.3  0.6
2012 05 29 07 35 33.27  0.03   34.060  0.10  131.916  0.10    13.6   0.4  0.6
2012 05 29 09 50 50.93  0.03   34.375  0.07  132.654  0.08    20.8   0.3  1.3
2012 05 29 11 39 33.86  0.03   33.795  0.11  134.243  0.12    10.0   0.6  0.9
2012 05 29 13 25 12.21  0.22   33.484  0.44  132.722  0.29    26.8   1.3  0.7
2012 05 29 16 16 54.34  0.18   33.109  0.36  132.230  0.28    31.6   1.8  0.6
2012 05 29 16 47 32.54  0.27   33.449  0.34  132.685  0.34    33.2   1.6  0.5
2012 05 29 18 11 00.16  0.08   33.712  0.18  132.159  0.29    53.5   0.7  0.5
2012 05 29 18 36 46.17  0.03   33.733  0.12  134.382  0.12     6.4   0.6  0.5
2012 05 29 19 31 36.59  0.02   34.058  0.08  131.917  0.08    14.0   0.3  1.2
2012 05 29 19 35 36.64  0.04   33.705  0.10  133.985  0.10    35.1   0.4  1.2
2012 05 29 21 00 55.02  0.13   33.474  0.29  132.683  0.39    31.8   1.1  0.5
2012 05 30 00 29 16.35  0.59   33.412  0.39  132.579  0.85    33.0   2.9  0.5
2012 05 30 00 30 36.79  0.24   33.364  0.31  132.544  0.34    34.2   1.3  0.6
2012 05 30 01 47 54.74  0.36   33.506  0.69  132.359  0.52    41.6   1.7  0.6
2012 05 30 02 15 18.09  0.32   33.501  0.57  132.696  0.38    30.1   1.8  0.5
2012 05 30 02 16 12.57  0.21   33.529  0.27  132.673  0.29    29.2   1.2  0.5
2012 05 30 02 18 01.38  0.42   33.534  0.43  132.674  0.60    32.9   2.2  0.5
2012 05 30 04 18 33.46  0.27   33.464  0.38  132.689  0.41    28.4   1.5  0.6
2012 05 30 09 09 14.10  0.04   34.095  0.11  132.444  0.11    18.0   0.4  0.9
2012 05 30 09 12 44.63  0.05   33.096  0.11  132.922  0.18    15.6   0.6  0.5
2012 05 30 11 20 57.06  0.07   33.785  0.15  132.695  0.21    39.9   0.6  0.6
2012 05 30 12 18 45.90  0.07   33.974  0.19  133.258  0.18    12.9   0.8  0.5
2012 05 30 22 50 06.33  0.06   33.058  0.22  134.001  0.24    20.4   0.7  1.2
2012 05 31 01 48 00.12  0.06   33.548  0.14  132.117  0.17    52.2   0.5  1.1
2012 05 31 02 43 59.82  0.09   33.046  0.29  132.027  0.27    42.9   1.0  0.8
2012 05 31 03 19 31.89  0.29   33.522  0.40  132.684  0.37    32.6   1.7  0.5
2012 05 31 03 26 06.15  0.19   33.486  0.25  132.720  0.23    28.1   1.1  0.5
2012 05 31 12 02 49.44  0.06   33.730  0.13  132.376  0.17    45.6   0.5  0.8
2012 05 31 13 40 00.69  0.05   33.877  0.11  132.427  0.14    45.2   0.4  1.2
2012 05 31 17 13 31.24  0.05   33.226  0.13  132.399  0.16    35.5   0.5  0.6
2012 05 31 19 00 53.16  0.03   33.690  0.08  132.784  0.10    39.2   0.3  2.0
2012 05 31 22 15 42.37  0.04   33.690  0.09  132.784  0.11    38.9   0.3  1.2
2012 05 31 23 51 17.95  0.04   32.953  0.10  132.685  0.14    30.0   0.4  0.7
2012 06 01 04 59 56.47  0.06   33.807  0.19  132.906  0.16    39.2   0.5  0.6
2012 06 01 05 00 16.77  0.03   33.140  0.10  132.421  0.12    35.1   0.4  1.8
2012 06 01 05 25 37.43  0.28   33.105  1.21  131.453  1.50   121.4   2.1  1.0
2012 06 01 06 36 54.80  0.03   33.843  0.10  134.288  0.11    11.2   0.6  1.3
2012 06 01 11 28 52.20  0.02   34.164  0.07  131.446  0.06    20.9   0.3  2.2
2012 06 01 15 52 36.41  0.45   33.486  0.55  132.727  0.58    34.1   2.5  0.6
2012 06 01 17 44 16.12  0.32   33.631  0.41  132.870  0.37    31.2   1.8  0.5
2012 06 01 17 52 52.28  0.09   32.965  0.20  132.442  0.39    31.4   0.6  1.0
2012 06 01 19 40 43.92  0.06   32.999  0.20  132.240  0.14    35.4   0.8  1.7
2012 06 01 23 35 05.78  0.03   32.870  0.12  132.438  0.12    30.0   0.4  0.9
2012 06 02 01 12 01.73  0.08   32.973  0.25  132.098  0.20    42.5   0.8  0.7
2012 06 02 02 02 19.66  0.06   32.840  0.23  132.022  0.25    38.0   0.8  0.8
2012 06 02 02 57 53.27  0.07   33.477  0.20  132.041  0.22    62.4   0.7  1.0
2012 06 02 04 25 19.51  0.19   33.647  0.19  132.868  0.30    30.6   1.2  0.5
2012 06 02 06 14 17.05  0.02   34.209  0.09  131.933  0.06    11.9   0.3  0.7
2012 06 02 09 02 42.46  0.07   33.386  0.18  132.500  0.22    37.3   0.6  0.9
2012 06 02 13 49 37.03  0.07   34.120  0.16  133.426  0.16    16.7   1.1  0.5
2012 06 02 17 20 35.27  0.63   33.597  0.57  132.959  0.78    31.1   4.0  0.5
2012 06 02 20 05 58.82  0.06   33.352  0.18  132.306  0.19    40.3   0.5  0.6
